Article,Prix
Big Mac,"€ 6,00"
Big Mac Combo,"€ 10,30"
Cheeseburger,"€ 2,60"
Double Cheddar & Beef,"€ 10,60"
Double Cheddar & Beef Combo,"€ 15,10"
Double Cheeseburger,"€ 4,40"
Double Cheeseburger Combo,"€ 8,20"
Double Filet-O-Fish Burger,"€ 6,20"
Double Filet-O-Fish Burger Combo,"€ 10,15"
Filet-O-Fish Burger,"€ 5,55"
Filet-O-Fish Burger Combo,"€ 9,85"
Hamburger,"€ 1,85"
McBaguette Bœuf,"€ 6,80"
McBaguette Bœuf Combo,"€ 10,60"
McBaguette Poulet,"€ 6,80"
McBaguette Poulet Combo,"€ 10,60"
McChicken Burger,"€ 5,30"
McChicken Burger Combo,"€ 9,80"
McFish Burger,"€ 4,85"
McFish Burger Combo,"€ 9,15"
McMuffin Egg & Bacon,"€ 3,50"
McMuffin Egg & Bacon Combo,"€ 7,50"
McMuffin Egg & Cheese,"€ 3,20"
McMuffin Egg & Cheese Combo,"€ 7,20"
Spicy McChicken Burger,"€ 5,30"
Spicy McChicken Burger Combo,"€ 9,80"
Triple Cheeseburger,"€ 6,10"
Triple Cheeseburger Combo,"€ 10,40"
Article,Prix
Wings (8),"€ 11,95"
Wings (5),"€ 6,60"
Chicken McNuggets (9),"€ 7,20"
Chicken McNuggets (6),"€ 5,45"
Chicken McNuggets (4),"€ 4,20"
Chicken McNuggets (20),"€ 13,00"
Article,Prix
McFish Happy Meal,"€ 4,00"
Hamburger Happy Meal,"€ 4,00"
Chicken McNuggets (4) Happy Meal,"€ 4,00"
Cheeseburger Happy Meal,"€ 4,00"
Article,Prix
Sauce,"€ 0,20"
Potatoes (moyenne),"€ 3,50"
Potatoes (grande),"€ 4,00"
Petite Tomates,"€ 1,85"
Petite Ranch Wrap,"€ 2,60"
Frites (petite),"€ 2,50"
Frites (moyenne),"€ 3,50"
Frites (grande),"€ 4,00"
Article,Prix
Sauce,"€ 0,20"
Potatoes (moyenne),"€ 3,50"
Potatoes (grande),"€ 4,00"
Petite Tomates,"€ 1,85"
Petite Ranch Wrap,"€ 2,60"
Frites (petite),"€ 2,50"
Frites (moyenne),"€ 3,50"
Frites (grande),"€ 4,00"
Article,Prix
Thé Earl Grey,"€ 2,80"
Minute Maid,"€ 2,40"
Lipton Green Tea,"€ 2,40"
Espresso,"€ 1,70"
Eau by McDo,"€ 2,30"
Coca Cola (petite),"€ 2,40"
Coca Cola (moyenne),"€ 3,40"
Coca Cola (grande),"€ 3,90"
Chocolat Chaud,"€ 2,80"
Cappuccino,"€ 2,80"
Café Latté,"€ 2,80"
Café Alongé,"€ 2,10"
Article,Prix
Muffin Saveur Chocolat Noisette,"€ 3,60"
McFlurry,"€ 4,40"
Duo de Macaron,"€ 2,70"
Donut Nature,"€ 2,60"
Donut Confetti,"€ 2,20"
Cookie Fourré Choco Nuts,"€ 3,20"
Brownie Chocolat-Noisettes,"€ 2,60"
